city,z,x,y,band,codec,raw_band_bytes,unpredicted_compressed_bytes,delta_compressed_bytes,delta_ratio
madrid,18,128372,98844,provenance,zstd3,262144,2180,3024,86.68783068783068
madrid,18,128372,98844,provenance,brotli5,262144,1771,2324,112.79862306368331
madrid,18,128373,98844,G,gzip6,262144,18976,11883,22.0604224522427
madrid,18,128373,98844,G,zstd3,262144,27766,17927,14.62285937412841
madrid,18,128373,98844,G,brotli5,262144,17481,13355,19.62890303257207
madrid,18,128373,98844,B,gzip6,262144,2980,3792,69.13080168776371
madrid,18,128373,98844,B,zstd3,262144,3223,3365,77.90312035661218
madrid,18,128373,98844,B,brotli5,262144,1948,2593,101.09679907443116
madrid,18,128373,98844,C0,gzip6,262144,361,364,720.1758241758242
madrid,18,128373,98844,C0,zstd3,262144,125,111,2361.6576576576576
madrid,18,128373,98844,C0,brotli5,262144,81,96,2730.6666666666665
madrid,18,128373,98844,C1,gzip6,262144,361,363,722.1597796143251
madrid,18,128373,98844,C1,zstd3,262144,125,111,2361.6576576576576
madrid,18,128373,98844,C1,brotli5,262144,81,96,2730.6666666666665
madrid,18,128373,98844,flags,gzip6,262144,2490,2887,90.80152407343263
madrid,18,128373,98844,flags,zstd3,262144,2951,3612,72.57585825027685
madrid,18,128373,98844,flags,brotli5,262144,1370,1732,151.35334872979215
madrid,18,128373,98844,provenance,gzip6,262144,2955,3729,70.29873960847412
madrid,18,128373,98844,provenance,zstd3,262144,3153,3268,80.21542227662178
madrid,18,128373,98844,provenance,brotli5,262144,1728,2398,109.31776480400333
madrid,18,128374,98844,G,gzip6,262144,27797,14043,18.66723634551022
madrid,18,128374,98844,G,zstd3,262144,37527,20168,12.998016660055534
madrid,18,128374,98844,G,brotli5,262144,24518,15122,17.335273112022218
madrid,18,128374,98844,B,gzip6,262144,1293,1334,196.50974512743628
madrid,18,128374,98844,B,zstd3,262144,1016,1023,256.25024437927664
madrid,18,128374,98844,B,brotli5,262144,644,774,338.687338501292
madrid,18,128374,98844,C0,gzip6,262144,879,753,348.132802124834
madrid,18,128374,98844,C0,zstd3,262144,684,504,520.1269841269841
madrid,18,128374,98844,C0,brotli5,262144,493,431,608.2227378190255
madrid,18,128374,98844,C1,gzip6,262144,912,760,344.9263157894737
madrid,18,128374,98844,C1,zstd3,262144,704,513,511.00194931773876
madrid,18,128374,98844,C1,brotli5,262144,505,430,609.6372093023256
madrid,18,128374,98844,flags,gzip6,262144,1442,1828,143.40481400437636
madrid,18,128374,98844,flags,zstd3,262144,875,1164,225.20962199312714
madrid,18,128374,98844,flags,brotli5,262144,588,750,349.5253333333333
madrid,18,128374,98844,provenance,gzip6,262144,1373,1414,185.3917963224894
